mz,name
582.4881,Cer(38:7)
582.5097,DG(32:2)
582.582,Cer(37:0)
583.4725,DG-H20(35:5)
584.5032,Cer(38:6)
584.5037,Cer(38:6)
584.5251,DG(32:1)
584.5253,DG(32:1)
585.4882,DG-H20(35:4)
586.5189,Cer(38:5)
586.5194,Cer(38:5)
586.5409,DG(32:0)
586.541,DG(32:0)
586.5557,CE(12:0)
587.3712,PA(28:3)
587.5036,DG-H20(35:3)
587.5038,DG-H20(35:3)
588.5351,Cer(38:4)
589.3869,PA(28:2)
589.5195,DG-H20(35:2)
590.4549,LysoPC-P(24:1)
590.5507,Cer(38:3)
591.4025,PA(28:1)
591.4495,SM(26:1)
591.5351,DG-H20(35:1)
592.4706,LysoPC-O(24:1)
593.4182,PA(28:0)
593.4654,SM(26:0)
593.5508,DG-H20(35:0)
594.4134,PE(25:0)
594.4135,PC(22:0)
594.5096,DG(33:3)
594.5817,Cer(38:1)
594.582,Cer(38:1)
595.472,DG-H20(36:6)
596.5029,Cer(39:7)
596.5253,DG(33:2)
596.5977,Cer(38:0)
597.4877,DG-H20(36:5)
597.488,DG-H20(36:5)
598.5188,Cer(39:6)
598.5407,DG(33:1)
598.5409,DG(33:1)
599.5038,DG-H20(36:4)
599.5039,DG-H20(36:4)
600.5345,Cer(39:5)
600.5566,DG(33:0)
601.5195,DG-H20(36:3)
602.4778,DG(34:6)
603.5352,DG-H20(36:2)
604.4935,DG(34:5)
604.5663,Cer(39:3)
605.4179,PA(29:1)
605.4651,SM(27:1)
605.5508,DG-H20(36:1)
606.4132,PE(26:1)
606.4498,PC-P(24:0)
606.4499,LysoPC(24:1)
606.4875,Cer(40:9)
606.5097,DG(34:4)
606.582,Cer(39:2)
607.4338,PA(29:0)
607.481,SM(27:0)
607.5665,DG-H20(36:0)
608.4291,PE(26:0)
608.4655,PC-O(24:0)
608.5032,Cer(40:8)
608.5037,Cer(40:8)
608.5251,DG(34:3)
608.5253,DG(34:3)
608.5976,Cer(39:1)
609.4876,DG-H20(37:6)
610.5188,Cer(40:7)
610.5194,Cer(40:7)
610.541,DG(34:2)
610.6133,Cer(39:0)
611.3712,PA(30:5)
611.5033,DG-H20(37:5)
611.5036,DG-H20(37:5)
612.5345,Cer(40:6)
612.5564,DG(34:1)
612.5566,DG(34:1)
613.3869,PA(30:4)
613.5195,DG-H20(37:4)
614.5502,Cer(40:5)
614.5723,DG(34:0)
614.587,CE(14:0)
615.4025,PA(30:3)
615.4497,SM(28:3)
615.5351,DG-H20(37:3)
617.4182,PA(30:2)
617.4654,SM(28:2)
618.5096,DG(35:5)
618.582,Cer(40:3)
619.4338,PA(30:1)
619.4725,DG-H20(38:8)
619.481,SM(28:1)
619.5662,DG-H20(37:1)
620.4288,PE(27:1)
620.4654,PC-P(25:0)
620.5253,DG(35:4)
620.5974,Cer(40:2)
621.4495,PA(30:0)
621.4874,DG-H20(38:7)
621.4882,DG-H20(38:7)
621.4967,SM(28:0)
621.5821,DG-H20(37:0)
622.4447,PE(27:0)
622.4448,PC(24:0)
622.4811,PC-O(25:0)
622.5407,DG(35:3)
622.5409,DG(35:3)
622.6133,Cer(40:1)
623.5033,DG-H20(38:6)
623.5038,DG-H20(38:6)
624.5566,DG(35:2)
624.629,Cer(40:0)
625.519,DG-H20(38:5)
625.5195,DG-H20(38:5)
626.5722,DG(35:1)
627.5352,DG-H20(38:4)
628.5663,Cer(41:5)
628.5879,DG(35:0)
628.6026,CE(15:0)
629.5508,DG-H20(38:3)
630.4134,PE(28:3)
630.4875,Cer(42:11)
630.5091,DG(36:6)
630.582,Cer(41:4)
632.4291,PE(28:2)
632.4652,PC-P(26:1)
632.5032,Cer(42:10)
632.5248,DG(36:5)
632.5251,DG(36:5)
632.5976,Cer(41:3)
633.4492,PA(31:1)
633.4964,SM(29:1)
633.5818,DG-H20(38:1)
633.5821,DG-H20(38:1)
634.4447,PE(28:1)
634.4809,PC-O(26:1)
634.4811,PC-P(26:0)
634.5188,Cer(42:9)
634.5409,DG(36:4)
634.541,DG(36:4)
634.613,Cer(41:2)
635.4651,PA(31:0)
635.503,DG-H20(39:7)
635.5123,SM(29:0)
635.5978,DG-H20(38:0)
636.4604,PC(25:0) or PE(28:0)
636.4968,PC-O(26:0)
636.5345,Cer(42:8)
636.5566,DG(36:3)
636.6289,Cer(41:1)
637.3863,PA(32:6)
637.5189,DG-H20(39:6)
638.5723,DG(36:2)
639.402,PA(32:5)
639.4497,SM(30:5)
639.5346,DG-H20(39:5)
640.5879,DG(36:1)
640.6024,CE(16:1)
641.4182,PA(32:4)
641.4654,SM(30:4)
642.582,Cer(42:5)
642.6036,DG(36:0)
642.6183,CE(16:0)
643.4338,PA(32:3)
643.481,SM(30:3)
643.5664,DG-H20(39:3)
644.5247,DG(37:6)
644.5976,Cer(42:4)
645.4495,PA(32:2)
645.4876,DG-H20(40:9)
645.4967,SM(30:2)
645.5821,DG-H20(39:2)
646.4808,PC-P(27:1)
646.5404,DG(37:5)
646.5407,DG(37:5)
646.6133,Cer(42:3)
647.4649,PA(32:1)
647.4651,PA(32:1)
647.5033,DG-H20(40:8)
647.5038,DG-H20(40:8)
647.5123,SM(30:1)
647.5977,DG-H20(39:1)
648.4601,PE(29:1)
648.4602,PC(26:1)
648.4965,PC-O(27:1)
648.4967,PC-P(27:0)
648.5566,DG(37:4)
648.6289,Cer(42:2)
649.4807,PA(32:0)
649.4808,PA(32:0)
649.5189,DG-H20(40:7)
649.5195,DG-H20(40:7)
649.528,SM(30:0)
649.6134,DG-H20(39:0)
650.476,PE(29:0)
650.4761,PC(26:0)
650.5124,PC-O(27:0)
650.5722,DG(37:3)
650.6446,Cer(42:1)
651.5346,DG-H20(40:6)
653.5503,DG-H20(40:5)
654.4134,PE(30:5)
654.5096,DG(38:8)
654.5814,Cer(43:6)
654.6033,DG(37:1)
654.618,CE(17:1)
656.4291,PE(30:4)
656.4654,PC-P(28:3)
656.5245,DG(38:7)
656.5253,DG(38:7)
656.5828,TG(36:0)**IS
656.5971,Cer(43:5)
656.6192,DG(37:0)
656.6339,CE(17:0)
657.4494,PA(33:3)
657.5821,DG-H20(40:3)
658.4447,PE(30:3)
658.4811,PC-O(28:3) or PC-P(28:2)
658.5183,Cer(44:11)
658.5404,DG(38:6)
658.5409,DG(38:6)
659.4651,PA(33:2)
659.5975,DG-H20(40:2)
660.4604,PE(30:2)
660.4967,PC-P(28:1)
660.4968,PC-O(28:2)
660.5561,DG(38:5)
660.5566,DG(38:5)
661.4805,PA(33:1)
661.5277,SM(31:1)
661.6134,DG-H20(40:1)
662.4758,PC(27:1)
662.476,PE(30:1)
662.5124,PC-O(28:1) or PC-P(28:0)
662.5723,DG(38:4)
663.4964,PA(33:0)
663.5436,SM(31:0)
663.6291,DG-H20(40:0)
664.4917,PC(27:0) or PE(30:0)
664.5281,PC-O(28:0)
664.5879,DG(38:3)
664.6026,CE(18:3)
665.4176,PA(34:6)
665.4648,SM(32:6)
666.6183,CE(18:2)
666.6759,Cer(43:0)
667.4333,PA(34:5)
667.4805,SM(32:5)
667.5664,DG-H20(41:5)
668.5976,Cer(44:6)
668.6189,DG(38:1)
668.6192,DG(38:1)
668.6339,CE(18:1)
669.4495,PA(34:4)
669.4876,DG-H20(42:11)
669.4967,SM(32:4)
