"targets.name","targets.mz","nearest_mz","mz_deviation","signal"
"Cer(33:1)",524.5035,524.4954,0.0081000000000131,212.340952280405
"LysoPC-P(20:5)",526.3297,526.3263,0.00340000000005602,0
"DG(28:2)",526.4471,526.4456,0.00149999999996453,247.896589949324
"Cer(33:0)",526.5194,526.5224,-0.00299999999992906,299.307643581081
"LysoPC-O(20:5) or LysoPC-P(20:4)",528.3454,528.3454,0,0
"Cer(34:6)",528.4406,528.4352,0.00540000000000873,206.665989231419
"DG(28:1)",528.4627,528.4627,0,0
"LysoPC-P(20:3)",530.361,530.3687,-0.00769999999999982,1334.58138062649
"Cer(34:5)",530.4563,530.4563,0,0
"DG(28:0)",530.4784,530.4784,0,0
"LysoPC-O(20:3)",532.3767,532.3851,-0.00839999999993779,159862.817781655
"Cer(34:4)",532.4725,532.4725,0,0
"Cer(34:3)",534.4879,534.4786,0.00929999999993925,0
"DG-H20(31:1)",535.4723,535.4701,0.00220000000001619,0
"Cer(34:2)",536.5038,536.5038,0,0
"PA(24:0)",537.3556,537.3556,0,0
"SM(22:0)",537.4028,537.4028,0,0
"DG-H20(31:0)",537.4882,537.4798,0.00840000000005148,0
"Cer(34:1)",538.5192,538.5236,-0.00440000000003238,277.509712837838
"DG-H20(32:6)",539.4094,539.4021,0.00729999999998654,295.410024282095
"Cer(34:0)",540.5351,540.5336,0.00150000000007822,287.450564822635
"DG-H20(32:5)",541.4251,541.4251,0,0
"LysoPC(20:5)",542.3247,542.3222,0.00250000000005457,1336.65157530363
"DG(29:1)",542.4781,542.4787,-0.000599999999963075,264.111380912162
"DG-H20(32:4)",543.4413,543.4499,-0.00860000000000127,0
"LysoPC(20:4)",544.3404,544.34,0.000400000000013279,36854.1012290408
"Cer(35:5)",544.4724,544.4813,-0.00890000000003965,0
"DG(29:0)",544.494,544.4919,0.00210000000004129,212.589553420608
"DG-H20(32:3)",545.4569,545.4518,0.00509999999997035,0
"LysoPC(20:3)",546.356,546.3548,0.00120000000003984,27050.1369168317
"Cer(35:4)",546.4881,546.4881,0,0
"DG-H20(32:2)",547.4726,547.4709,0.00170000000002801,1350.31035064043
"DG(30:5)",548.4314,548.4253,0.00610000000006039,0
"Cer(35:3)",548.5035,548.5042,-0.000699999999937972,321804.106889195
"DG-H20(32:1)",549.488,549.4868,0.00120000000003984,60967.0890580627
"LysoPC-P(21:0)",550.4236,550.4154,0.00819999999998799,0.673403981175102
"DG(30:4)",550.4471,550.4471,0,0
"Cer(35:2)",550.5194,550.5124,0.00700000000006185,7681.53261798332
"PA(25:0)",551.3712,551.3624,0.00880000000006476,253.652449324324
"DG-H20(32:0)",551.5038,551.5019,0.00189999999997781,67430.2363954471
"LysoPC-P(22:6)",552.3448,552.3448,0,0
"PE(22:0)",552.3665,552.3665,0,0
"LysoPC-O(21:0)",552.4393,552.4393,0,0
"DG(30:3)",552.4627,552.4627,0,0
"Cer(35:1)",552.535,552.5275,0.00749999999993634,0
"LysoPC-O(22:6) or LysoPC-P(22:5)",554.3605,554.3692,-0.00869999999997617,10.8919621367871
"DG(30:2)",554.4784,554.4802,-0.00180000000000291,7428.29463485843
"Cer(35:0)",554.5507,554.5509,-0.000199999999949796,277.004909206081
"LysoPC-O(22:5)",556.3762,556.3633,0.0129000000000588,3127.461742981
"Cer(36:6)",556.4719,556.4622,0.00969999999995252,229.87435741694
"DG(30:1)",556.494,556.4931,0.000900000000001455,2226.71020115909
"Cer(36:5)",558.4876,558.4885,-0.000900000000001455,1073.24077491142
"DG(30:0)",558.5097,558.5032,0.00649999999995998,0
"CE(10:0)",558.5244,558.5339,-0.00950000000000273,269.56714527027
"DG-H20(33:3)",559.4725,559.4725,0,0
"Cer(36:4)",560.5037,560.5037,0,0
"DG-H20(33:2)",561.4882,561.4882,0,0
"Cer(36:3)",562.5194,562.511,0.00840000000005148,470.519800399233
"PA(26:1)",563.371,563.3795,-0.00850000000002638,315.868872879615
"DG-H20(33:1)",563.5036,563.5036,0,0
"LysoPC-P(22:0)",564.4393,564.4476,-0.00829999999996289,6789.25997916306
"Cer(36:2)",564.5351,564.5447,-0.00959999999997763,0
"PA(26:0)",565.3869,565.3772,0.00969999999995252,0
"SM(24:0)",565.4341,565.4428,-0.00870000000008986,0
"DG-H20(33:0)",565.5195,565.5195,0,0
"LysoPC(21:0)",566.4186,566.4186,0,0
"LysoPC-O(22:0)",566.455,566.455,0,0
"Cer(36:1)",566.5507,566.5507,0,0
"DG-H20(34:6)",567.4407,567.4407,0,0
"LysoPC(22:6)",568.3398,568.3398,0,4023.89572304927
"Cer(36:0)",568.5664,568.5664,0,0
"DG-H20(34:5)",569.4564,569.4564,0,0
"LysoPC(22:5)",570.3555,570.3555,0,0
"Cer(37:6)",570.4875,570.4724,0.0150999999999613,85703.0631389838
"DG(31:1)",570.5094,570.5179,-0.00850000000002638,0
"DG-H20(34:4)",571.4726,NA,NA,19534.161859458
"Cer(37:5)",572.5032,572.4986,0.00459999999998217,0
"DG(31:0)",572.5253,572.5253,0,0
"DG-H20(34:3)",573.488,573.4866,0.00140000000010332,3937.19048920666
"DG(32:6)",574.4465,574.4465,0,0
"Cer(37:4)",574.5194,574.5194,0,0
"DG-H20(34:2)",575.5039,575.5042,-0.000299999999924694,80005.2056638414
"DG(32:5)",576.4622,576.459,0.00320000000010623,247.032622466216
"Cer(37:3)",576.535,576.5266,0.00839999999993779,0
"PA(27:1)",577.3866,577.3866,0,0
"DG-H20(34:1)",577.5193,NA,NA,183875.627344473
"PC-P(22:0)",578.4185,578.4267,-0.00819999999998799,0
"DG(32:4)",578.4784,578.4784,0,0
"PA(27:0)",579.4025,579.4025,0,0
"SM(25:0)",579.4497,579.4497,0,0
"DG-H20(34:0)",579.5352,NA,NA,4529.67751699454
"PE(24:0)",580.3978,580.3925,0.00529999999992015,226.030379011824
"PC-O(22:0)",580.4342,580.4441,-0.00990000000001601,0
"Cer(38:8)",580.4724,580.4818,-0.00940000000002783,0
"DG(32:3)",580.494,580.4987,-0.00469999999995707,444.514968364044
"Cer(37:1)",580.5661,580.5661,0,0
"Cer(38:7)",582.4873,582.4873,0,0
"Cer(38:7)",582.4881,582.4881,0,0
"DG(32:2)",582.5097,582.5097,0,0
"Cer(37:0)",582.582,582.582,0,0
