mz,name
554.4579,Cer(36:6)-H-
554.479,Cer(31:1)+AcO-
556.4501,Cer(33:2)+Cl-
556.4736,Cer(36:5)-H-
556.4946,Cer(31:0)+AcO-
558.4164,Cer(32:6)+AcO-
558.4658,Cer(33:1)+Cl-
558.4892,Cer(36:4)-H-
560.4321,Cer(32:5)+AcO-
560.4814,Cer(33:0)+Cl-
560.5049,Cer(36:3)-H-
561.3561,PA(26:1)-H-
562.4032,Cer(34:6)+Cl-
562.4477,Cer(32:4)+AcO-
562.5205,Cer(36:2)-H-
563.3718,PA(26:0)-H-
563.4196,SM(24:0)-H-
564.4189,Cer(34:5)+Cl-
564.4634,Cer(32:3)+AcO-
564.5361,Cer(36:1)-H-
566.4345,Cer(34:4)+Cl-
566.479,Cer(32:2)+AcO-
566.5518,Cer(36:0)-H-
567.3302,PA(22:0)+AcO-
568.4502,Cer(34:3)+Cl-
568.4735,Cer(37:6)-H-
568.4946,Cer(32:1)+AcO-
570.4658,Cer(34:2)+Cl-
570.4892,Cer(37:5)-H-
570.5103,Cer(32:0)+AcO-
571.317,PA(24:0)+Cl-
571.3649,SM(22:0)+Cl-
572.4814,Cer(34:1)+Cl-
572.5048,Cer(37:4)-H-
574.4971,Cer(34:0)+Cl-
574.5206,Cer(37:3)-H-
575.3718,PA(27:1)-H-
577.3873,PA(27:0)-H-
577.4352,SM(25:0)-H-
578.3826,PE(24:0)-H-
578.4345,Cer(35:5)+Cl-
578.458,Cer(38:8)-H-
578.479,Cer(33:3)+AcO-
578.5519,Cer(37:1)-H-
580.4501,Cer(35:4)+Cl-
580.4736,Cer(38:7)-H-
580.4946,Cer(33:2)+AcO-
580.5674,Cer(37:0)-H-
581.346,PG(22:0)-H-
582.4658,Cer(35:3)+Cl-
582.4892,Cer(38:6)-H-
582.5103,Cer(33:1)+AcO-
584.4815,Cer(35:2)+Cl-
584.5049,Cer(38:5)-H-
584.5259,Cer(33:0)+AcO-
585.3326,PA(25:0)+Cl-
585.3561,PA(28:3)-H-
586.3279,PE(22:0)+Cl-
586.4477,Cer(34:6)+AcO-
586.4971,Cer(35:1)+Cl-
586.5205,Cer(38:4)-H-
587.3718,PA(28:2)-H-
588.4634,Cer(34:5)+AcO-
588.5128,Cer(35:0)+Cl-
588.5362,Cer(38:3)-H-
589.3874,PA(28:1)-H-
589.4353,SM(26:1)-H-
590.4345,Cer(36:6)+Cl-
590.479,Cer(34:4)+AcO-
591.4031,PA(28:0)-H-
591.4509,SM(26:0)-H-
592.3983,PC(22:0)-H-_PE(25:0)-H-
592.4502,Cer(36:5)+Cl-
592.4947,Cer(34:3)+AcO-
592.5674,Cer(38:1)-H-
594.3413,PS(22:0)-H-
594.4658,Cer(36:4)+Cl-
594.4892,Cer(39:7)-H-
594.5103,Cer(34:2)+AcO-
594.5831,Cer(38:0)-H-
595.3615,PA(24:0)+AcO-
595.4094,SM(22:0)+AcO-
596.4815,Cer(36:3)+Cl-
596.5049,Cer(39:6)-H-
596.5259,Cer(34:1)+AcO-
597.3327,PA(26:1)+Cl-
598.4971,Cer(36:2)+Cl-
598.5205,Cer(39:5)-H-
598.5416,Cer(34:0)+AcO-
599.3483,PA(26:0)+Cl-
599.3962,SM(24:0)+Cl-
600.5127,Cer(36:1)+Cl-
600.5362,Cer(39:4)-H-
602.479,Cer(35:5)+AcO-
602.5284,Cer(36:0)+Cl-
602.5519,Cer(39:3)-H-
603.4031,PA(29:1)-H-
603.4509,SM(27:1)-H-
604.3984,PE(26:1)-H-
604.4501,Cer(37:6)+Cl-
604.4736,Cer(40:9)-H-
604.4946,Cer(35:4)+AcO-
604.5675,Cer(39:2)-H-
605.4186,PA(29:0)-H-
605.4665,SM(27:0)-H-
606.4139,PE(26:0)-H-
606.4658,Cer(37:5)+Cl-
606.4892,Cer(40:8)-H-
606.5103,Cer(35:3)+AcO-
606.583,Cer(39:1)-H-
608.4814,Cer(37:4)+Cl-
608.5049,Cer(40:7)-H-
608.526,Cer(35:2)+AcO-
608.5987,Cer(39:0)-H-
609.3561,PA(30:5)-H-
609.3771,PA(25:0)+AcO-_PG(24:0)-H-
610.3724,PE(22:0)+AcO-
610.4972,Cer(37:3)+Cl-
610.5205,Cer(40:6)-H-
610.5416,Cer(35:1)+AcO-
611.3483,PA(27:1)+Cl-
611.3718,PA(30:4)-H-
612.5362,Cer(40:5)-H-
612.5573,Cer(35:0)+AcO-
613.3639,PA(27:0)+Cl-
613.3874,PA(30:3)-H-
613.4118,SM(25:0)+Cl-
613.4353,SM(28:3)-H-
614.3592,PE(24:0)+Cl-
614.4346,Cer(38:8)+Cl-
614.479,Cer(36:6)+AcO-
614.5285,Cer(37:1)+Cl-
614.5518,Cer(40:4)-H-
615.4031,PA(30:2)-H-
615.4509,SM(28:2)-H-
616.4502,Cer(38:7)+Cl-
616.4947,Cer(36:5)+AcO-
616.544,Cer(37:0)+Cl-
616.5675,Cer(40:3)-H-
617.3225,PG(22:0)+Cl-
617.4187,PA(30:1)-H-
617.4666,SM(28:1)-H-
618.4139,PE(27:1)-H-
618.4658,Cer(38:6)+Cl-
618.5103,Cer(36:4)+AcO-
618.5831,Cer(40:2)-H-
619.4343,PA(30:0)-H-
619.4822,SM(28:0)-H-
620.4295,PE(27:0)-H-_PC(24:0)-H-
620.4815,Cer(38:5)+Cl-
620.526,Cer(36:3)+AcO-
620.5987,Cer(40:1)-H-
621.3327,PA(28:3)+Cl-
621.3772,PA(26:1)+AcO-
622.3726,PS(24:0)-H-
622.4971,Cer(38:4)+Cl-
622.5416,Cer(36:2)+AcO-
622.6144,Cer(40:0)-H-
623.3483,PA(28:2)+Cl-
623.3928,PA(26:0)+AcO-_PG(25:0)-H-
623.4407,SM(24:0)+AcO-
624.5128,Cer(38:3)+Cl-
624.5572,Cer(36:1)+AcO-
625.364,PA(28:1)+Cl-
625.4119,SM(26:1)+Cl-
626.5519,Cer(41:5)-H-
626.5729,Cer(36:0)+AcO-
627.3796,PA(28:0)+Cl-
627.4275,SM(26:0)+Cl-
628.3749,PC(22:0)+Cl-_PE(25:0)+Cl-
628.3984,PE(28:3)-H-
628.4736,Cer(42:11)-H-
628.4946,Cer(37:6)+AcO-
628.544,Cer(38:1)+Cl-
628.5675,Cer(41:4)-H-
630.3179,PS(22:0)+Cl-
630.4139,PE(28:2)-H-
630.4658,Cer(39:7)+Cl-
630.4892,Cer(42:10)-H-
630.5103,Cer(37:5)+AcO-
630.5597,Cer(38:0)+Cl-
630.5832,Cer(41:3)-H-
631.4343,PA(31:1)-H-
631.4822,SM(29:1)-H-
632.4296,PE(28:1)-H-
632.4815,Cer(39:6)+Cl-
632.5049,Cer(42:9)-H-
632.5259,Cer(37:4)+AcO-
632.5987,Cer(41:2)-H-
633.4499,PA(31:0)-H-
633.4978,SM(29:0)-H-
634.4452,PC(25:0)-H-_PE(28:0)-H-
634.4971,Cer(39:5)+Cl-
634.5205,Cer(42:8)-H-
634.5417,Cer(37:3)+AcO-
634.6144,Cer(41:1)-H-
635.3718,PA(32:6)-H-
635.3928,PA(27:1)+AcO-_PG(26:1)-H-
636.3882,PS(25:0)-H-
636.5128,Cer(39:4)+Cl-
636.5362,Cer(42:7)-H-
636.6301,Cer(41:0)-H-
637.3874,PA(32:5)-H-
637.4084,PA(27:0)+AcO-_PG(26:0)-H-
637.4353,SM(30:5)-H-
637.4563,SM(25:0)+AcO-
638.4037,PE(24:0)+AcO-
638.4791,Cer(38:8)+AcO-
638.5285,Cer(39:3)+Cl-
638.573,Cer(37:1)+AcO-
639.3796,PA(29:1)+Cl-
639.4031,PA(32:4)-H-
639.4275,SM(27:1)+Cl-
639.4509,SM(30:4)-H-
640.375,PE(26:1)+Cl-
640.4502,Cer(40:9)+Cl-
640.4947,Cer(38:7)+AcO-
640.5441,Cer(39:2)+Cl-
640.5675,Cer(42:5)-H-
640.5885,Cer(37:0)+AcO-
641.367,PG(22:0)+AcO-
641.3952,PA(29:0)+Cl-
641.4187,PA(32:3)-H-
641.4431,SM(27:0)+Cl-
641.4666,SM(30:3)-H-
642.3905,PE(26:0)+Cl-
642.4658,Cer(40:8)+Cl-
642.5103,Cer(38:6)+AcO-
642.5596,Cer(39:1)+Cl-
642.5831,Cer(42:4)-H-
643.4343,PA(32:2)-H-
643.4822,SM(30:2)-H-
644.4815,Cer(40:7)+Cl-
644.526,Cer(38:5)+AcO-
644.5753,Cer(39:0)+Cl-
644.5987,Cer(42:3)-H-
645.3327,PA(30:5)+Cl-
645.3538,PG(24:0)+Cl-
645.3772,PA(28:3)+AcO-
645.4499,PA(32:1)-H-
645.4979,SM(30:1)-H-
646.4453,PC(26:1)-H-_PE(29:1)-H-
646.4971,Cer(40:6)+Cl-
646.5416,Cer(38:4)+AcO-
646.6144,Cer(42:2)-H-
647.3483,PA(30:4)+Cl-
647.3928,PA(28:2)+AcO-
647.4656,PA(32:0)-H-
647.5135,SM(30:0)-H-
648.3883,PS(26:1)-H-
648.4609,PE(29:0)-H-_PC(26:0)-H-
648.5128,Cer(40:5)+Cl-
648.5573,Cer(38:3)+AcO-
648.63,Cer(42:1)-H-
649.364,PA(30:3)+Cl-
649.4085,PA(28:1)+AcO-_PG(27:1)-H-
649.4119,SM(28:3)+Cl-
649.4564,SM(26:1)+AcO-
650.4039,PS(26:0)-H-
650.5284,Cer(40:4)+Cl-
650.6457,Cer(42:0)-H-
651.3796,PA(30:2)+Cl-
651.4241,PA(28:0)+AcO-_PG(27:0)-H-
651.4275,SM(28:2)+Cl-
651.472,SM(26:0)+AcO-
652.3984,PE(30:5)-H-
652.4194,PC(22:0)+AcO-_PE(25:0)+AcO-
652.5441,Cer(40:3)+Cl-
652.5675,Cer(43:6)-H-
652.5885,Cer(38:1)+AcO-
653.3953,PA(30:1)+Cl-
653.4432,SM(28:1)+Cl-
654.3624,PS(22:0)+AcO-
654.3905,PE(27:1)+Cl-
654.4139,PE(30:4)-H-
654.5103,Cer(39:7)+AcO-
654.5597,Cer(40:2)+Cl-
654.5832,Cer(43:5)-H-
654.6042,Cer(38:0)+AcO-
655.4109,PA(30:0)+Cl-
655.4343,PA(33:3)-H-
655.4588,SM(28:0)+Cl-
656.4061,PE(27:0)+Cl-_PC(24:0)+Cl-
656.4296,PE(30:3)-H-
656.5049,Cer(44:11)-H-
656.526,Cer(39:6)+AcO-
656.5753,Cer(40:1)+Cl-
656.5988,Cer(43:4)-H-
657.4499,PA(33:2)-H-
658.3492,PS(24:0)+Cl-
658.4453,PE(30:2)-H-
658.5205,Cer(44:10)-H-
658.5416,Cer(39:5)+AcO-
658.591,Cer(40:0)+Cl-
658.6145,Cer(43:3)-H-
659.3695,PG(25:0)+Cl-
659.393,PG(28:3)-H-
659.4656,PA(33:1)-H-
659.5135,SM(31:1)-H-
660.461,PC(27:1)-H-_PE(30:1)-H-
660.5362,Cer(44:9)-H-
660.5573,Cer(39:4)+AcO-
661.4085,PG(28:2)-H-
661.4812,PA(33:0)-H-
661.5291,SM(31:0)-H-
662.4039,PS(27:1)-H-
662.4765,PC(27:0)-H-_PE(30:0)-H-
662.5285,Cer(41:5)+Cl-
662.573,Cer(39:3)+AcO-
663.4031,PA(34:6)-H-
663.4241,PA(29:1)+AcO-_PG(28:1)-H-
663.4509,SM(32:6)-H-
663.472,SM(27:1)+AcO-
664.375,PE(28:3)+Cl-
664.4194,PE(26:1)+AcO-_PS(27:0)-H-
664.4502,Cer(42:11)+Cl-
664.4947,Cer(40:9)+AcO-
664.5441,Cer(41:4)+Cl-
664.5886,Cer(39:2)+AcO-
664.6614,Cer(43:0)-H-
665.4187,PA(34:5)-H-
665.4397,PA(29:0)+AcO-_PG(28:0)-H-
665.4666,SM(32:5)-H-
665.4876,SM(27:0)+AcO-
666.3905,PE(28:2)+Cl-
666.435,PE(26:0)+AcO-
666.4658,Cer(42:10)+Cl-
666.5103,Cer(40:8)+AcO-
666.5598,Cer(41:3)+Cl-
666.5831,Cer(44:6)-H-
666.6041,Cer(39:1)+AcO-
667.4109,PA(31:1)+Cl-
667.4343,PA(34:4)-H-
667.4588,SM(29:1)+Cl-
667.4822,SM(32:4)-H-
668.4062,PE(28:1)+Cl-
668.4815,Cer(42:9)+Cl-
668.526,Cer(40:7)+AcO-
668.5753,Cer(41:2)+Cl-
668.5987,Cer(44:5)-H-
668.6198,Cer(39:0)+AcO-
669.362,PI(22:0)-H-
669.3772,PA(30:5)+AcO-
669.3983,PG(24:0)+AcO-
669.4265,PA(31:0)+Cl-
669.45,PA(34:3)-H-
669.4744,SM(29:0)+Cl-
669.4979,SM(32:3)-H-
670.4218,PC(25:0)+Cl-_PE(28:0)+Cl-
670.4453,PC(28:3)-H-
670.4971,Cer(42:8)+Cl-
670.5416,Cer(40:6)+AcO-
670.591,Cer(41:1)+Cl-
670.6144,Cer(44:4)-H-
671.3483,PA(32:6)+Cl-
671.3696,PG(26:1)+Cl-
671.3928,PA(30:4)+AcO-
671.4656,PA(34:2)-H-
671.5135,SM(32:2)-H-
672.3648,PS(25:0)+Cl-
672.3883,PS(28:3)-H-
672.461,PC(28:2)-H-
672.5128,Cer(42:7)+Cl-
672.5573,Cer(40:5)+AcO-
672.6067,Cer(41:0)+Cl-
672.6301,Cer(44:3)-H-
673.364,PA(32:5)+Cl-
673.3851,PG(26:0)+Cl-
673.4085,PA(30:3)+AcO-
673.4119,SM(30:5)+Cl-
673.4564,SM(28:3)+AcO-
673.4812,PA(34:1)-H-
673.5291,SM(32:1)-H-
674.4039,PS(28:2)-H-
674.4765,PE(31:1)-H-_PC(28:1)-H-
674.5729,Cer(40:4)+AcO-
675.3796,PA(32:4)+Cl-
675.4241,PA(30:2)+AcO-
675.4275,SM(30:4)+Cl-
675.472,SM(28:2)+AcO-
675.4969,PA(34:0)-H-
675.5448,SM(32:0)-H-
676.4196,PS(28:1)-H-
676.4921,PE(31:0)-H-
676.5441,Cer(42:5)+Cl-
676.5886,Cer(40:3)+AcO-
677.3953,PA(32:3)+Cl-
677.4398,PA(30:1)+AcO-_PG(29:1)-H-
677.4432,SM(30:3)+Cl-
677.4877,SM(28:1)+AcO-
678.4139,PE(32:6)-H-
678.435,PE(27:1)+AcO-_PS(28:0)-H-
678.5597,Cer(42:4)+Cl-
678.6042,Cer(40:2)+AcO-
678.6771,Cer(44:0)-H-
679.4109,PA(32:2)+Cl-
679.4343,PA(35:5)-H-
679.4554,PA(30:0)+AcO-_PG(29:0)-H-
679.4588,SM(30:2)+Cl-
679.5033,SM(28:0)+AcO-
680.4296,PE(32:5)-H-
680.4506,PE(27:0)+AcO-_PC(24:0)+AcO-
680.5753,Cer(42:3)+Cl-
680.5988,Cer(45:6)-H-
680.6198,Cer(40:1)+AcO-
681.4265,PA(32:1)+Cl-
681.4499,PA(35:4)-H-
681.4745,SM(30:1)+Cl-
682.3937,PS(24:0)+AcO-
682.4219,PC(26:1)+Cl-_PE(29:1)+Cl-
682.4452,PE(32:4)-H-
682.591,Cer(42:2)+Cl-
682.6145,Cer(45:5)-H-
682.6355,Cer(40:0)+AcO-
683.393,PG(30:5)-H-
683.4139,PG(25:0)+AcO-
683.4422,PA(32:0)+Cl-
683.4656,PA(35:3)-H-
683.4901,SM(30:0)+Cl-
683.5135,SM(33:3)-H-
684.3649,PS(26:1)+Cl-
