"Molecule_List_Name","Precursor_Name","Precursor_m_z","Precursor_Charge"
"Lipid","PE(22:0)",552.3665,1
"Lipid","LysoPC-O(21:0)",552.4393,1
"Lipid","DG(30:3)",552.4627,1
"Lipid","Cer(35:1)",552.535,1
"Lipid","LysoPC-O(22:6) or LysoPC-P(22:5)",554.3605,1
"Lipid","DG(30:2)",554.4784,1
"Lipid","Cer(35:0)",554.5507,1
"Lipid","LysoPC-O(22:5)",556.3762,1
"Lipid","Cer(36:6)",556.4719,1
"Lipid","DG(30:1)",556.494,1
"Lipid","Cer(36:5)",558.4876,1
"Lipid","DG(30:0)",558.5097,1
"Lipid","CE(10:0)",558.5244,1
"Lipid","DG-H20(33:3)",559.4725,1
"Lipid","Cer(36:4)",560.5037,1
"Lipid","DG-H20(33:2)",561.4882,1
"Lipid","Cer(36:3)",562.5194,1
"Lipid","PA(26:1)",563.371,1
"Lipid","DG-H20(33:1)",563.5036,1
"Lipid","LysoPC-P(22:0)",564.4393,1
"Lipid","Cer(36:2)",564.5351,1
"Lipid","PA(26:0)",565.3869,1
"Lipid","SM(24:0)",565.4341,1
"Lipid","DG-H20(33:0)",565.5195,1
"Lipid","LysoPC(21:0)",566.4186,1
"Lipid","LysoPC-O(22:0)",566.455,1
"Lipid","Cer(36:1)",566.5507,1
"Lipid","DG-H20(34:6)",567.4407,1
"Lipid","LysoPC(22:6)",568.3398,1
"Lipid","Cer(36:0)",568.5664,1
"Lipid","DG-H20(34:5)",569.4564,1
"Lipid","LysoPC(22:5)",570.3555,1
"Lipid","Cer(37:6)",570.4875,1
"Lipid","DG(31:1)",570.5094,1
"Lipid","DG-H20(34:4)",571.4726,1
"Lipid","Cer(37:5)",572.5032,1
"Lipid","DG(31:0)",572.5253,1
"Lipid","DG-H20(34:3)",573.488,1
"Lipid","DG(32:6)",574.4465,1
"Lipid","Cer(37:4)",574.5194,1
"Lipid","DG-H20(34:2)",575.5039,1
"Lipid","DG(32:5)",576.4622,1
"Lipid","Cer(37:3)",576.535,1
"Lipid","PA(27:1)",577.3866,1
"Lipid","DG-H20(34:1)",577.5193,1
"Lipid","PC-P(22:0)",578.4185,1
"Lipid","DG(32:4)",578.4784,1
"Lipid","PA(27:0)",579.4025,1
"Lipid","SM(25:0)",579.4497,1
"Lipid","DG-H20(34:0)",579.5352,1
"Lipid","PE(24:0)",580.3978,1
"Lipid","PC-O(22:0)",580.4342,1
"Lipid","Cer(38:8)",580.4724,1
"Lipid","DG(32:3)",580.494,1
"Lipid","Cer(37:1)",580.5661,1
"Lipid","Cer(38:7)",582.4873,1
"Lipid","Cer(38:7)",582.4881,1
"Lipid","DG(32:2)",582.5097,1
"Lipid","Cer(37:0)",582.582,1
"Lipid","DG-H20(35:5)",583.4725,1
"Lipid","Cer(38:6)",584.5032,1
"Lipid","DG(32:1)",584.5251,1
"Lipid","DG-H20(35:4)",585.4882,1
"Lipid","Cer(38:5)",586.5189,1
"Lipid","DG(32:0)",586.5409,1
"Lipid","CE(12:0)",586.5557,1
"Lipid","PA(28:3)",587.3712,1
"Lipid","DG-H20(35:3)",587.5036,1
"Lipid","Cer(38:4)",588.5351,1
"Lipid","PA(28:2)",589.3869,1
"Lipid","DG-H20(35:2)",589.5195,1
"Lipid","LysoPC-P(24:1)",590.4549,1
"Lipid","Cer(38:3)",590.5507,1
"Lipid","PA(28:1)",591.4025,1
"Lipid","SM(26:1)",591.4495,1
"Lipid","DG-H20(35:1)",591.5351,1
"Lipid","LysoPC-O(24:1)",592.4706,1
"Lipid","PA(28:0)",593.4182,1
"Lipid","SM(26:0)",593.4654,1
"Lipid","DG-H20(35:0)",593.5508,1
"Lipid","PE(25:0)",594.4134,1
"Lipid","DG(33:3)",594.5096,1
"Lipid","Cer(38:1)",594.5817,1
"Lipid","DG-H20(36:6)",595.472,1
"Lipid","Cer(39:7)",596.5029,1
"Lipid","DG(33:2)",596.5253,1
"Lipid","Cer(38:0)",596.5977,1
"Lipid","DG-H20(36:5)",597.4877,1
"Lipid","Cer(39:6)",598.5188,1
"Lipid","DG(33:1)",598.5407,1
"Lipid","DG-H20(36:4)",599.5038,1
"Lipid","Cer(39:5)",600.5345,1
"Lipid","DG(33:0)",600.5566,1
"Lipid","DG-H20(36:3)",601.5195,1
"Lipid","DG(34:6)",602.4778,1
"Lipid","DG-H20(36:2)",603.5352,1
"Lipid","DG(34:5)",604.4935,1
"Lipid","Cer(39:3)",604.5663,1
"Lipid","PA(29:1)",605.4179,1
"Lipid","SM(27:1)",605.4651,1
"Lipid","DG-H20(36:1)",605.5508,1
"Lipid","PE(26:1)",606.4132,1
"Lipid","PC-P(24:0)",606.4498,1
"Lipid","Cer(40:9)",606.4875,1
"Lipid","DG(34:4)",606.5097,1
"Lipid","Cer(39:2)",606.582,1
"Lipid","PA(29:0)",607.4338,1
"Lipid","SM(27:0)",607.481,1
"Lipid","DG-H20(36:0)",607.5665,1
"Lipid","PE(26:0)",608.4291,1
"Lipid","PC-O(24:0)",608.4655,1
"Lipid","Cer(40:8)",608.5032,1
"Lipid","DG(34:3)",608.5251,1
"Lipid","Cer(39:1)",608.5976,1
"Lipid","DG-H20(37:6)",609.4876,1
"Lipid","Cer(40:7)",610.5188,1
"Lipid","DG(34:2)",610.541,1
"Lipid","Cer(39:0)",610.6133,1
"Lipid","PA(30:5)",611.3712,1
"Lipid","DG-H20(37:5)",611.5033,1
"Lipid","Cer(40:6)",612.5345,1
"Lipid","DG(34:1)",612.5564,1
"Lipid","PA(30:4)",613.3869,1
"Lipid","DG-H20(37:4)",613.5195,1
"Lipid","Cer(40:5)",614.5502,1
"Lipid","DG(34:0)",614.5723,1
"Lipid","CE(14:0)",614.587,1
"Lipid","PA(30:3)",615.4025,1
"Lipid","SM(28:3)",615.4497,1
"Lipid","DG-H20(37:3)",615.5351,1
"Lipid","PA(30:2)",617.4182,1
"Lipid","SM(28:2)",617.4654,1
"Lipid","DG(35:5)",618.5096,1
"Lipid","Cer(40:3)",618.582,1
"Lipid","PA(30:1)",619.4338,1
"Lipid","DG-H20(38:8)",619.4725,1
"Lipid","SM(28:1)",619.481,1
"Lipid","DG-H20(37:1)",619.5662,1
"Lipid","PE(27:1)",620.4288,1
"Lipid","PC-P(25:0)",620.4654,1
"Lipid","DG(35:4)",620.5253,1
"Lipid","Cer(40:2)",620.5974,1
"Lipid","PA(30:0)",621.4495,1
"Lipid","DG-H20(38:7)",621.4874,1
"Lipid","DG-H20(38:7)",621.4882,1
"Lipid","SM(28:0)",621.4967,1
"Lipid","DG-H20(37:0)",621.5821,1
"Lipid","PE(27:0)",622.4447,1
"Lipid","PC-O(25:0)",622.4811,1
"Lipid","DG(35:3)",622.5407,1
"Lipid","Cer(40:1)",622.6133,1
"Lipid","DG-H20(38:6)",623.5033,1
"Lipid","DG(35:2)",624.5566,1
"Lipid","Cer(40:0)",624.629,1
"Lipid","DG-H20(38:5)",625.519,1
"Lipid","DG(35:1)",626.5722,1
"Lipid","DG-H20(38:4)",627.5352,1
"Lipid","Cer(41:5)",628.5663,1
"Lipid","DG(35:0)",628.5879,1
"Lipid","CE(15:0)",628.6026,1
"Lipid","DG-H20(38:3)",629.5508,1
"Lipid","PE(28:3)",630.4134,1
"Lipid","Cer(42:11)",630.4875,1
"Lipid","DG(36:6)",630.5091,1
"Lipid","Cer(41:4)",630.582,1
"Lipid","PE(28:2)",632.4291,1
"Lipid","PC-P(26:1)",632.4652,1
"Lipid","Cer(42:10)",632.5032,1
"Lipid","DG(36:5)",632.5248,1
"Lipid","Cer(41:3)",632.5976,1
"Lipid","PA(31:1)",633.4492,1
"Lipid","SM(29:1)",633.4964,1
"Lipid","DG-H20(38:1)",633.5818,1
"Lipid","PE(28:1)",634.4447,1
"Lipid","PC-O(26:1)",634.4809,1
"Lipid","Cer(42:9)",634.5188,1
"Lipid","DG(36:4)",634.5409,1
"Lipid","Cer(41:2)",634.613,1
"Lipid","PA(31:0)",635.4651,1
"Lipid","DG-H20(39:7)",635.503,1
